vito,description,landuse,vegetation_kext,land_manning_n,soil_compacted_fraction,vegetation_root_depth,vegetation_leaf_storage,vegetation_wood_storage,land_water_fraction,vegetation_crop_factor,vegetation_feddes_alpha_h1,vegetation_feddes_h1,vegetation_feddes_h2,vegetation_feddes_h3_high,vegetation_feddes_h3_low,vegetation_feddes_h4,erosion_usle_c,Cov_River
20,Shrubs,20,0.07,0.5,0,410,0.07,0.1,0,0.8,1,0,-100,-400,-1000,-15849,0.05,1.97
30,Herbaceous vegetation,30,0.6,0.15,0,106.8,0.1272,0,0,0.75,1,0,-100,-400,-1000,-15849,0.045,1.97
40,Cultivated and managed vegetation/agriculture (cropland),40,0.6,0.2,0,390.4,0.1272,0,0,1.15,0,0,-100,-400,-1000,-15849,0.3,1.97
50,Urban / built up,50,0.7,0.011,0.9,257.4,0.04,0.01,0,1,1,0,-100,-400,-1000,-15849,0,1
60,Bare / sparse vegetation,60,0.6,0.02,0,10.7,0.04,0.04,0,1,1,0,-100,-400,-1000,-15849,0.25,1.97
70,Snow and Ice,70,0.6,0.01,0,0,0,0,0,1,1,0,-100,-400,-1000,-15849,0,1
80,Permanent water bodies,80,0.7,0.01,0,0,0,0,1,1,1,0,-100,-400,-1000,-15849,0,1
90,Herbaceous wetland,90,0.6,0.15,0,106.8,0.1272,0,0,1.1,1,0,-100,-400,-1000,-15849,0.05,1.97
100,Moss and lichen,100,0.6,0.085,0,136.9,0.04,0,0,1,1,0,-100,-400,-1000,-15849,0.04,1.97
111,Closed forest evergreen needle leaf,111,0.8,0.4,0,382.2,0.045,0.5,0,0.8,1,0,-100,-400,-1000,-15849,0.001,19.2
112,Closed forest evergreen broad leaf,112,0.8,0.6,0,294.1,0.036,0.5,0,0.8,1,0,-100,-400,-1000,-15849,0.0065,19.2
113,Closed forest deciduous needle leaf,113,0.8,0.4,0,215.3,0.045,0.5,0,0.9,1,0,-100,-400,-1000,-15849,0.001,19.2
114,Closed forest deciduous broad leaf,114,0.8,0.6,0,429.8,0.036,0.5,0,0.9,1,0,-100,-400,-1000,-15849,0.001,19.2
115,Closed forest mixed,115,0.8,0.5,0,406,0.0393,0.5,0,0.85,1,0,-100,-400,-1000,-15849,0.0065,19.2
116,Closed forest unknown,116,0.8,0.5,0,406,0.0393,0.5,0,0.85,1,0,-100,-400,-1000,-15849,0.0065,19.2
121,Open forest evergreen needle leaf,121,0.8,0.45,0,396.1,0.0575,0.5,0,0.8,1,0,-100,-400,-1000,-15849,0.01,5.4
122,Open forest evergreen broad leaf,122,0.8,0.55,0,352,0.053,0.5,0,0.8,1,0,-100,-400,-1000,-15849,0.01,5.4
123,Open forest deciduous needle leaf,123,0.8,0.45,0,312.6,0.0575,0.5,0,0.9,1,0,-100,-400,-1000,-15849,0.01,5.4
124,Open forest deciduous broad leaf,124,0.8,0.55,0,419.9,0.053,0.5,0,0.9,1,0,-100,-400,-1000,-15849,0.01,5.4
125,Open forest mixed,125,0.8,0.5,0,408,0.0553,0.5,0,0.85,1,0,-100,-400,-1000,-15849,0.01,5.4
126,Open forest unknown,126,0.8,0.5,0,408,0.0553,0.5,0,0.85,1,0,-100,-400,-1000,-15849,0.01,5.4
200,Open sea,200,0.7,0.01,0,0,0,0,1,1,1,0,-100,-400,-1000,-15849,0,1
0,No data,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
